Time stamp,Dollar per kwh,System power generated (kW)
"Jan 1, 12:00 AM",0.05150206,0
"Jan 1, 1:00 AM",0.05266897,0
"Jan 1, 2:00 AM",0.05119425,0
"Jan 1, 3:00 AM",0.05123666,0
"Jan 1, 4:00 AM",0.05132875,0
"Jan 1, 5:00 AM",0.05091579,0
"Jan 1, 6:00 AM",0.05057005,0
"Jan 1, 7:00 AM",0.05040439,0
"Jan 1, 8:00 AM",0.0419349,35543.9
"Jan 1, 9:00 AM",0.0419486,54866.5
"Jan 1, 10:00 AM",0.041722,54589
"Jan 1, 11:00 AM",0.0412004,49929.1
"Jan 1, 12:00 PM",0.041905,47453
"Jan 1, 1:00 PM",0.0419049,49160.6
"Jan 1, 2:00 PM",0.0421992,52732.6
"Jan 1, 3:00 PM",0.0388767,51810.6
"Jan 1, 4:00 PM",0.0253033,34904.9
"Jan 1, 5:00 PM",0.0205354,0
"Jan 1, 6:00 PM",0.0200317,0
"Jan 1, 7:00 PM",0.0208469,0
"Jan 1, 8:00 PM",0.0187404,0
"Jan 1, 9:00 PM",0.0186991,0
"Jan 1, 10:00 PM",0.0201908,0
"Jan 1, 11:00 PM",0.0304888,0
"Jan 2, 12:00 AM",0.0446506,0
"Jan 2, 1:00 AM",0.0452669,0
"Jan 2, 2:00 AM",0.0451085,0
"Jan 2, 3:00 AM",0.0448319,0
"Jan 2, 4:00 AM",0.0449085,0
"Jan 2, 5:00 AM",0.0447314,0
"Jan 2, 6:00 AM",0.0448413,0
"Jan 2, 7:00 AM",0.0438914,0
"Jan 2, 8:00 AM",0.0424183,33997.9
"Jan 2, 9:00 AM",0.0413996,54053.9
"Jan 2, 10:00 AM",0.0405423,54519
"Jan 2, 11:00 AM",0.0404334,50083.9
"Jan 2, 12:00 PM",0.0426473,47644.1
"Jan 2, 1:00 PM",0.0468842,49211.6
"Jan 2, 2:00 PM",0.0526088,52429.3
"Jan 2, 3:00 PM",0.0486824,50913.4
"Jan 2, 4:00 PM",0.033066,35028
"Jan 2, 5:00 PM",0.0271866,0
"Jan 2, 6:00 PM",0.0269868,0
"Jan 2, 7:00 PM",0.0278338,0
"Jan 2, 8:00 PM",0.0255883,0
"Jan 2, 9:00 PM",0.0246848,0
"Jan 2, 10:00 PM",0.0262883,0
"Jan 2, 11:00 PM",0.0340605,0
"Jan 3, 12:00 AM",0.0468237,0
"Jan 3, 1:00 AM",0.0478633,0
"Jan 3, 2:00 AM",0.0472893,0
"Jan 3, 3:00 AM",0.0466601,0
"Jan 3, 4:00 AM",0.0465681,0
"Jan 3, 5:00 AM",0.0458276,0
"Jan 3, 6:00 AM",0.0457131,0
"Jan 3, 7:00 AM",0.0437692,0
"Jan 3, 8:00 AM",0.0455584,32835.6
"Jan 3, 9:00 AM",0.0430543,52018
"Jan 3, 10:00 AM",0.0428585,52671.2
"Jan 3, 11:00 AM",0.0429253,48965.5
"Jan 3, 12:00 PM",0.0441839,37541.4
"Jan 3, 1:00 PM",0.0479895,9939.95
"Jan 3, 2:00 PM",0.0510123,18298.6
"Jan 3, 3:00 PM",0.0524304,51388.8
"Jan 3, 4:00 PM",0.0458159,35755.3
"Jan 3, 5:00 PM",0.0418772,0
"Jan 3, 6:00 PM",0.0375973,0
"Jan 3, 7:00 PM",0.0371521,0
"Jan 3, 8:00 PM",0.0346316,0
"Jan 3, 9:00 PM",0.0338065,0
"Jan 3, 10:00 PM",0.0346685,0
"Jan 3, 11:00 PM",0.0414238,0
"Jan 4, 12:00 AM",0.0472791,0
"Jan 4, 1:00 AM",0.0478693,0
"Jan 4, 2:00 AM",0.0448489,0
"Jan 4, 3:00 AM",0.0437879,0
"Jan 4, 4:00 AM",0.0428169,0
"Jan 4, 5:00 AM",0.0418088,0
"Jan 4, 6:00 AM",0.0400822,0
"Jan 4, 7:00 AM",0.0387137,0
"Jan 4, 8:00 AM",0.03913,35567.7
"Jan 4, 9:00 AM",0.0395004,55017.1
"Jan 4, 10:00 AM",0.0390587,55166.5
"Jan 4, 11:00 AM",0.0377809,50095.2
"Jan 4, 12:00 PM",0.0397338,47617.7
"Jan 4, 1:00 PM",0.0400782,49285.1
"Jan 4, 2:00 PM",0.0406824,52142.6
"Jan 4, 3:00 PM",0.0402228,51614
"Jan 4, 4:00 PM",0.0167756,36465.8
"Jan 4, 5:00 PM",0.00679543,0
"Jan 4, 6:00 PM",0.0050314,0
"Jan 4, 7:00 PM",0.00479171,0
"Jan 4, 8:00 PM",0.0038231,0
"Jan 4, 9:00 PM",0.00291424,0
"Jan 4, 10:00 PM",0.00565683,0
"Jan 4, 11:00 PM",0.0225855,0
"Jan 5, 12:00 AM",0.0422043,0
"Jan 5, 1:00 AM",0.0462732,0
"Jan 5, 2:00 AM",0.0456509,0
"Jan 5, 3:00 AM",0.0455557,0
"Jan 5, 4:00 AM",0.0454126,0
"Jan 5, 5:00 AM",0.0454137,0
"Jan 5, 6:00 AM",0.0452912,0
"Jan 5, 7:00 AM",0.0443399,0
"Jan 5, 8:00 AM",0.0435394,33735.7
"Jan 5, 9:00 AM",0.0431567,53925.2
"Jan 5, 10:00 AM",0.0424301,53997
"Jan 5, 11:00 AM",0.0417868,50075.7
"Jan 5, 12:00 PM",0.0429619,47736.4
"Jan 5, 1:00 PM",0.0429882,49481.3
"Jan 5, 2:00 PM",0.0440878,52493.4
"Jan 5, 3:00 PM",0.0414049,52234.5
"Jan 5, 4:00 PM",0.0204753,37344.4
"Jan 5, 5:00 PM",0.00500294,0
"Jan 5, 6:00 PM",0.00263628,0
"Jan 5, 7:00 PM",0.00431369,0
"Jan 5, 8:00 PM",0.00084023,0
"Jan 5, 9:00 PM",-0.00159234,0
"Jan 5, 10:00 PM",0.00250016,0
"Jan 5, 11:00 PM",0.0189689,0
"Jan 6, 12:00 AM",0.0452648,0
"Jan 6, 1:00 AM",0.0470811,0
"Jan 6, 2:00 AM",0.0467992,0
"Jan 6, 3:00 AM",0.0472635,0
"Jan 6, 4:00 AM",0.0471584,0
"Jan 6, 5:00 AM",0.0469782,0
"Jan 6, 6:00 AM",0.046658,0
"Jan 6, 7:00 AM",0.0454794,0
"Jan 6, 8:00 AM",0.0446403,32594.3
"Jan 6, 9:00 AM",0.0444891,52369.6
"Jan 6, 10:00 AM",0.0440481,53294
"Jan 6, 11:00 AM",0.0429915,49288.8
"Jan 6, 12:00 PM",0.0453512,46978.8
"Jan 6, 1:00 PM",0.0488281,48428.7
"Jan 6, 2:00 PM",0.0506172,51867.7
"Jan 6, 3:00 PM",0.0516494,51190
"Jan 6, 4:00 PM",0.038851,37027.8
"Jan 6, 5:00 PM",0.0232535,0
"Jan 6, 6:00 PM",0.0195915,0
"Jan 6, 7:00 PM",0.019152,0
"Jan 6, 8:00 PM",0.0170481,0
"Jan 6, 9:00 PM",0.011666,0
"Jan 6, 10:00 PM",0.0109526,0
"Jan 6, 11:00 PM",0.0264513,0
"Jan 7, 12:00 AM",0.0459967,0
"Jan 7, 1:00 AM",0.0486339,0
"Jan 7, 2:00 AM",0.047658,0
"Jan 7, 3:00 AM",0.0472099,0
"Jan 7, 4:00 AM",0.0473649,0
"Jan 7, 5:00 AM",0.0474569,0
"Jan 7, 6:00 AM",0.0467603,0
"Jan 7, 7:00 AM",0.0458692,0
"Jan 7, 8:00 AM",0.0502469,31648.3
"Jan 7, 9:00 AM",0.0506803,51807.5
"Jan 7, 10:00 AM",0.0496289,53314.8
"Jan 7, 11:00 AM",0.0495045,50215.5
"Jan 7, 12:00 PM",0.0506843,47693.6
"Jan 7, 1:00 PM",0.0570374,49242.2
"Jan 7, 2:00 PM",0.0612507,52182.8
"Jan 7, 3:00 PM",0.0604906,50743.8
"Jan 7, 4:00 PM",0.0446336,35961.9
"Jan 7, 5:00 PM",0.0313164,0
"Jan 7, 6:00 PM",0.028385,0
"Jan 7, 7:00 PM",0.0255914,0
"Jan 7, 8:00 PM",0.0219446,0
"Jan 7, 9:00 PM",0.015306,0
"Jan 7, 10:00 PM",0.0150399,0
"Jan 7, 11:00 PM",0.0304127,0
"Jan 8, 12:00 AM",0.0524591,0
"Jan 8, 1:00 AM",0.0554865,0
"Jan 8, 2:00 AM",0.0535781,0
"Jan 8, 3:00 AM",0.0527641,0
"Jan 8, 4:00 AM",0.0528829,0
"Jan 8, 5:00 AM",0.052543,0
"Jan 8, 6:00 AM",0.0523061,0
"Jan 8, 7:00 AM",0.0515461,0
"Jan 8, 8:00 AM",0.0445437,30525.5
"Jan 8, 9:00 AM",0.0438379,52904.8
"Jan 8, 10:00 AM",0.0434374,55946.5
"Jan 8, 11:00 AM",0.0434948,52879.6
"Jan 8, 12:00 PM",0.0445072,50672
"Jan 8, 1:00 PM",0.0493209,52669.2
"Jan 8, 2:00 PM",0.0535593,55963.6
"Jan 8, 3:00 PM",0.054199,55120
"Jan 8, 4:00 PM",0.042388,40492.5
"Jan 8, 5:00 PM",0.0304289,0
"Jan 8, 6:00 PM",0.026088,0
"Jan 8, 7:00 PM",0.0244434,0
"Jan 8, 8:00 PM",0.0225508,0
"Jan 8, 9:00 PM",0.0181778,0
"Jan 8, 10:00 PM",0.0215953,0
"Jan 8, 11:00 PM",0.0374329,0
"Jan 9, 12:00 AM",0.051343,0
"Jan 9, 1:00 AM",0.0549355,0
"Jan 9, 2:00 AM",0.0542051,0
"Jan 9, 3:00 AM",0.0537852,0
"Jan 9, 4:00 AM",0.0531355,0
"Jan 9, 5:00 AM",0.0523122,0
"Jan 9, 6:00 AM",0.0509886,0
"Jan 9, 7:00 AM",0.0471668,0
"Jan 9, 8:00 AM",0.0484313,8944.89
"Jan 9, 9:00 AM",0.0472983,53322.5
"Jan 9, 10:00 AM",0.0467472,54407.3
"Jan 9, 11:00 AM",0.0468417,50578.4
"Jan 9, 12:00 PM",0.0479027,48447
"Jan 9, 1:00 PM",0.0515007,35360.3
"Jan 9, 2:00 PM",0.0595996,52887.1
"Jan 9, 3:00 PM",0.0581545,51977.4
"Jan 9, 4:00 PM",0.0397813,31605.7
"Jan 9, 5:00 PM",0.0214349,0
"Jan 9, 6:00 PM",0.0197665,0
"Jan 9, 7:00 PM",0.019586,0
"Jan 9, 8:00 PM",0.0174145,0
"Jan 9, 9:00 PM",0.0154389,0
"Jan 9, 10:00 PM",0.0169964,0
"Jan 9, 11:00 PM",0.0333938,0
"Jan 10, 12:00 AM",0.0501378,0
"Jan 10, 1:00 AM",0.0527055,0
"Jan 10, 2:00 AM",0.0513983,0
"Jan 10, 3:00 AM",0.0507428,0
"Jan 10, 4:00 AM",0.0508104,0
"Jan 10, 5:00 AM",0.0500848,0
"Jan 10, 6:00 AM",0.0501037,0
"Jan 10, 7:00 AM",0.0489447,0
"Jan 10, 8:00 AM",0.0440225,33296.4
"Jan 10, 9:00 AM",0.0435864,53029.3
"Jan 10, 10:00 AM",0.0436107,53802.1
"Jan 10, 11:00 AM",0.0437815,49500.8
"Jan 10, 12:00 PM",0.0438565,47139
"Jan 10, 1:00 PM",0.050777,37760.4
"Jan 10, 2:00 PM",0.0563699,52673.7
"Jan 10, 3:00 PM",0.0520795,29797.7
"Jan 10, 4:00 PM",0.0342632,39843.2
"Jan 10, 5:00 PM",0.0201482,0
"Jan 10, 6:00 PM",0.0187178,0
"Jan 10, 7:00 PM",0.0175115,0
"Jan 10, 8:00 PM",0.0163602,0
"Jan 10, 9:00 PM",0.0138081,0
"Jan 10, 10:00 PM",0.0152761,0
"Jan 10, 11:00 PM",0.0258214,0
"Jan 11, 12:00 AM",0.0464105,0
"Jan 11, 1:00 AM",0.049768,0
"Jan 11, 2:00 AM",0.0483201,0
"Jan 11, 3:00 AM",0.0470738,0
"Jan 11, 4:00 AM",0.0465803,0
"Jan 11, 5:00 AM",0.0465429,0
"Jan 11, 6:00 AM",0.0458585,0
"Jan 11, 7:00 AM",0.0447414,0
"Jan 11, 8:00 AM",0.0407559,10107.1
"Jan 11, 9:00 AM",0.0397304,35070.1
"Jan 11, 10:00 AM",0.0406177,25060.2
"Jan 11, 11:00 AM",0.0402108,32231.7
"Jan 11, 12:00 PM",0.0406512,39520.8
"Jan 11, 1:00 PM",0.040734,34181.1
"Jan 11, 2:00 PM",0.0430023,36679.3
"Jan 11, 3:00 PM",0.0410021,39467.7
"Jan 11, 4:00 PM",0.00859276,14064.7
"Jan 11, 5:00 PM",-0.00370185,0
"Jan 11, 6:00 PM",-0.00334874,0
"Jan 11, 7:00 PM",-0.00291978,0
"Jan 11, 8:00 PM",-0.00432231,0
"Jan 11, 9:00 PM",-0.00503228,0
"Jan 11, 10:00 PM",-0.00379208,0
"Jan 11, 11:00 PM",0.00688474,0
"Jan 12, 12:00 AM",0.0438231,0
"Jan 12, 1:00 AM",0.0489046,0
"Jan 12, 2:00 AM",0.0482485,0
"Jan 12, 3:00 AM",0.0479642,0
"Jan 12, 4:00 AM",0.0482646,0
"Jan 12, 5:00 AM",0.0480484,0
"Jan 12, 6:00 AM",0.0479738,0
"Jan 12, 7:00 AM",0.0472496,0
"Jan 12, 8:00 AM",0.0533682,0
"Jan 12, 9:00 AM",0.0511377,6337.8
"Jan 12, 10:00 AM",0.0509649,31091.2
"Jan 12, 11:00 AM",0.0508952,39909.5
"Jan 12, 12:00 PM",0.0528648,17132.4
"Jan 12, 1:00 PM",0.0535428,23329.2
"Jan 12, 2:00 PM",0.0537348,17710.5
"Jan 12, 3:00 PM",0.0502501,26618.8
"Jan 12, 4:00 PM",0.0187786,41657.3
"Jan 12, 5:00 PM",-0.00348848,427.111
"Jan 12, 6:00 PM",-0.00457171,0
"Jan 12, 7:00 PM",-0.00512306,0
"Jan 12, 8:00 PM",-0.00539163,0
"Jan 12, 9:00 PM",-0.00608,0
"Jan 12, 10:00 PM",-0.00570957,0
"Jan 12, 11:00 PM",0.0145836,0
"Jan 13, 12:00 AM",0.0538967,0
"Jan 13, 1:00 AM",0.0572754,0
"Jan 13, 2:00 AM",0.0565667,0
"Jan 13, 3:00 AM",0.0559531,0
"Jan 13, 4:00 AM",0.0558378,0
"Jan 13, 5:00 AM",0.0556017,0
"Jan 13, 6:00 AM",0.0553238,0
"Jan 13, 7:00 AM",0.0529532,0
"Jan 13, 8:00 AM",0.0551397,39414.4
"Jan 13, 9:00 AM",0.0526709,59383.9
"Jan 13, 10:00 AM",0.0519418,59195.9
"Jan 13, 11:00 AM",0.0512478,54031.5
"Jan 13, 12:00 PM",0.0526352,51256.9
"Jan 13, 1:00 PM",0.0577572,52554.5
"Jan 13, 2:00 PM",0.0587319,55851.4
"Jan 13, 3:00 PM",0.00732523,56061.9
"Jan 13, 4:00 PM",0.0465994,45503.1
"Jan 13, 5:00 PM",0.0254885,1083.59
"Jan 13, 6:00 PM",0.0143936,0
"Jan 13, 7:00 PM",0.0083121,0
"Jan 13, 8:00 PM",0.00645303,0
"Jan 13, 9:00 PM",0.00526612,0
"Jan 13, 10:00 PM",0.00673276,0
"Jan 13, 11:00 PM",0.0284781,0
"Jan 14, 12:00 AM",0.0555665,0
"Jan 14, 1:00 AM",0.0600972,0
"Jan 14, 2:00 AM",0.0605942,0
"Jan 14, 3:00 AM",0.0597432,0
"Jan 14, 4:00 AM",0.0598049,0
"Jan 14, 5:00 AM",0.0593739,0
"Jan 14, 6:00 AM",0.0578877,0
"Jan 14, 7:00 AM",0.0412253,0
"Jan 14, 8:00 AM",0.0643011,9375.51
"Jan 14, 9:00 AM",0.0605861,26484.9
"Jan 14, 10:00 AM",0.0589447,56522.7
"Jan 14, 11:00 AM",0.0590194,39311.2
"Jan 14, 12:00 PM",0.060218,41251.6
"Jan 14, 1:00 PM",0.0654782,45789.4
"Jan 14, 2:00 PM",0.072343,34764.2
"Jan 14, 3:00 PM",0.0701641,7381.06
"Jan 14, 4:00 PM",0.0432146,1085.4
"Jan 14, 5:00 PM",0.0227378,0
"Jan 14, 6:00 PM",0.0140024,0
"Jan 14, 7:00 PM",0.0147832,0
"Jan 14, 8:00 PM",0.00899015,0
"Jan 14, 9:00 PM",0.00182189,0
"Jan 14, 10:00 PM",0.00395485,0
"Jan 14, 11:00 PM",0.0348836,0
"Jan 15, 12:00 AM",0.0632743,0
"Jan 15, 1:00 AM",0.0692176,0
"Jan 15, 2:00 AM",0.0678909,0
"Jan 15, 3:00 AM",0.0670772,0
"Jan 15, 4:00 AM",0.0665848,0
"Jan 15, 5:00 AM",0.06552,0
"Jan 15, 6:00 AM",0.0652886,0
"Jan 15, 7:00 AM",0.0632354,0
"Jan 15, 8:00 AM",0.0585813,22.8795
"Jan 15, 9:00 AM",0.0554851,7512.5
"Jan 15, 10:00 AM",0.0551363,5651.94
"Jan 15, 11:00 AM",0.0550186,15426.4
"Jan 15, 12:00 PM",0.0571418,5696.68
"Jan 15, 1:00 PM",0.0609096,20005.8
"Jan 15, 2:00 PM",0.0693312,11700
"Jan 15, 3:00 PM",0.0674922,8564.32
"Jan 15, 4:00 PM",0.0445674,1489.81
"Jan 15, 5:00 PM",0.0185362,0
"Jan 15, 6:00 PM",0.0108976,0
"Jan 15, 7:00 PM",0.00650273,0
"Jan 15, 8:00 PM",0.00250435,0
